end_date,title,start_time,end_time,start_date,location
"20 
                          February
                          2018",Grove Sessions,06:15pm,08:00pm,"20 
                          February
                          2018","Concert Room, Grove Building, Middlesex University, The Burroughs, London, NW4 4BT"
"31 
                          January
                          2018",Harare British Council Study UK Event (Zimbabwe),02:00pm,05:00pm,"31 
                          January
                          2018","Prince Edward High School, Harare, Zimbabwe"
"2 
                          February
                          2018",Bulawayo British Council Event (Zimbabwe),02:00pm,06:00pm,"2 
                          February
                          2018","Petra College, Chelmsford Road, Bulawayo, Zimbabwe"
"3 
                          February
                          2018",Arts and Creative Industries Undergraduate Open Day,11:00am,02:00pm,"3 
                          February
                          2018","Grove Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"6 
                          February
                          2018",Violin Recital and CD Launch – Alberto Bologni,07:00pm,09:30pm,"6 
                          February
                          2018","Estorick Gallery of Contemporary Italian Art, 39a Canonbury Square, London N1 2AN (nearest Tube: Highbury & Islington)"
"7 
                          February
                          2018","""No one talks like that. Sorry."" What are people doing when they discuss accents in film and television?",04:00pm,05:30pm,"7 
                          February
                          2018","Room BG09A (Building 9),"
"7 
                          February
                          2018",Assessing the impact of a drug law enforcement operation against a heroin and crack cocaine market in England,04:30pm,06:00pm,"7 
                          February
                          2018","C219 College Building, Middlesex University, The Burroughs, London, NW4 4BT"
"25 
                          January
                          2018",Berlin Study UK Fair (Germany),10:00am,02:00pm,"25 
                          January
                          2018","BBW Berlin, Am Schillertheater 2, 10625 Berlin"
"10 
                          February
                          2018",Vilnius Studijos Fair (Lithuania),10:00am,05:00pm,"8 
                          February
                          2018","""Litexpo"" - Lietuvos parodų ir kongresų centras, Laisvės pr. 5, Vilnius"
"27 
                          January
                          2018",Paris L'etudiant International Studies Fair Day 1 (France),09:00am,05:00pm,"27 
                          January
                          2018","Parc des expositions Porte-de-Versailles, Pavillon 2/1 - 1 place de la Porte de Versailles 75015 Paris"
"10 
                          February
                          2018",Vilnius Studijos Fair Day 2 (Lithuania),10:00am,05:00pm,"9 
                          February
                          2018","""Litexpo"" - Lietuvos parodų ir kongresų centras, Laisvės pr. 5, Vilnius"
"24 
                          January
                          2018",Composition Workshop with the Allegri Quartet,04:30pm,06:00pm,"24 
                          January
                          2018","Concert Room, The Grove Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"30 
                          January
                          2018","The Creative Vision, with Paul Taylor (Mute Records)",06:15pm,08:00pm,"30 
                          January
                          2018","Concert Room, The Grove Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"24 
                          January
                          2018",Prague Gaudeamus Fair Day 1 (Czech Republic),07:00am,03:00pm,"24 
                          January
                          2018","PVA Expo Prague-Letňany Beranovych 667, 199 00 Prague 9 - Letnany, Czech Republic"
"25 
                          January
                          2018",Prague Gaudeamus Fair Day 2 (Czech Republic),07:00am,03:00pm,"25 
                          January
                          2018","PVA Expo Prague-Letňany Beranovych 667, 199 00 Prague 9 - Letnany, Czech Republic"
"24 
                          January
                          2018","“Four legs badass, two legs wasteman!”: Reimagining Orwell for Austerity Britain",04:00pm,05:30pm,"24 
                          January
                          2018","BG09A Building 9, Middlesex University, The Burroughs, London, NW4 4BT"
"19 
                          January
                          2017",Mumbai IDP Spot Admissions (India),12:00pm,04:00pm,"19 
                          January
                          2018","Mumbai Andheri, India"
"10 
                          February
                          2018",Vilnius Studijos Fair Day 3 (Lithuania),10:00am,04:00pm,"10 
                          February
                          2018","""Litexpo"" - Lietuvos parodų ir kongresų centras, Laisvės pr. 5, Vilnius"
"22 
                          January
                          2018",Düsseldorf Study UK (Germany),10:00am,02:00pm,"22 
                          January
                          2018","Hochschule Düsseldorf, Münsterstraße 156, 40476 Düsseldorf"
"14 
                          February
                          2018",Oslo Tautdanning Education Fair Day 1 (Norway),10:00am,06:00pm,"14 
                          February
                          2018","Oslo Spektrum, Sonia Henies pl. 2, N-0185 Oslo"
"23 
                          January
                          2018",Hannover Study UK (Germany),10:00am,02:00pm,"23 
                          January
                          2018","Agentur für Arbeit Hannover, Brühlstr. 5, 30169 Hannover"
"10 
                          January
                          2018",Pre-UCAS deadline extended drop-in session,09:30am,07:00pm,"10 
                          January
                          2018","CG01 College Building, Middlesex University, The Burroughs, London, NW4 4BT"
"18 
                          February
                          2018",Mexico City EDUEXPOS Day 1 (Mexico),02:00pm,07:00pm,"17 
                          February
                          2018","Hotel Sheraton Maria Isabel, Paseo de la Reforma 325, Delegación Cuauhtemoc, Mexico"
"18 
                          February
                          2018",Mexico City EDUEXPOS Day 2 (Mexico),02:00pm,07:00pm,"18 
                          February
                          2018","Hotel Sheraton Maria Isabel, Paseo de la Reforma 325, Delegación Cuauhtemoc, Mexico"
"16 
                          January
                          2018",Aquinas Piano Trio,06:15pm,08:00pm,"16 
                          January
                          2018","Concert Room, The Grove Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"20 
                          January
                          2018","Academic visit to Kuala Lumpur, Malaysia",12:00am,12:00am,"17 
                          January
                          2018","Kuala Lumpur, Malaysia"
"22 
                          December
                          2017","Academic visit to Hanoi, Vietnam",10:00am,04:00pm,"18 
                          December
                          2017","Hanoi, Vietnam"
"12 
                          January
                          2018",Academic visit to India,11:00am,05:00pm,"6 
                          January
                          2018","Jaipur and Jodphur, India"
"9 
                          January
                          2018",01,09:00am,05:00pm,"9 
                          January
                          2018","C219 Boardroom, College Building, Middlesex University, The Burroughs, NW4 4BT"
"23 
                          January
                          2018",“Working Closely with their Employers”: Performers and PPL,06:15pm,08:00pm,"23 
                          January
                          2018","Concert Room, The Grove Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"24 
                          January
                          2018",Hamburg Study UK Fair (Germany),10:00am,02:00pm,"24 
                          January
                          2018","Staats- und Universitätsbibliothek Hamburg, Von-Melle-Park 3, 20146 Hamburg"
"22 
                          January
                          2018",Dusseldorf Study UK Fair (Germany),10:00am,02:00pm,"22 
                          January
                          2018","Hochschule Düsseldorf, Münsterstraße 156, 40476 Düsseldorf"
"12 
                          December
                          2017",Mathematics Christmas Lecture,12:30pm,01:30pm,"12 
                          December
                          2017","C211, College Building,"
"15 
                          December
                          2017",How to save the European Court of Human Rights in three steps,02:00pm,03:30pm,"15 
                          December
                          2017","Room C219-20, The Boardroom, Middlesex University, The Burroughs, London, NW4 4BT"
"13 
                          December
                          2017",University Choir Christmas Concert,07:00pm,09:00pm,"13 
                          December
                          2017","St Mary’s Church, Church End, Hendon, London NW4 4JT"
"14 
                          December
                          2017","Academic visit to Hong Kong, South China and Taiwan",10:00am,03:00pm,"4 
                          December
                          2017","Hong Kong, South China and Taiwan"
"5 
                          December
                          2017",Screening: Music for Film TV & Animation,06:15pm,08:00pm,"5 
                          December
                          2017","Concert Room, Grove Building, Middlesex University, The Burroughs, London, NW4 4BT"
"6 
                          December
                          2017",Language innovation and language change: taking the longer view,04:00pm,05:30pm,"6 
                          December
                          2017","Room BG09A (Building 9), Middlesex University, The Burroughs, London, NW4 4BT"
"9 
                          January
                          2018",Grove Sessions,06:00pm,08:00pm,"9 
                          January
                          2018","Concert Room, Grove Building, Middlesex University, The Burroughs, London, NW4 4BT"
"11 
                          December
                          2017",Middlesex University Centre for Co-production in Mental Health 2nd Annual Day Conference,09:30am,04:30pm,"11 
                          December
                          2017","Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"11 
                          December
                          2017",BA Jazz Ensembles Christmas Gig,08:00pm,10:30pm,"11 
                          December
                          2017","Concert Room G274, Grove B, Middlesex University, The Burroughs, London NW4 4BT"
"27 
                          January
                          2018",RIGHT NOW EXHIBITION,12:00pm,04:00pm,"27 
                          January
                          2018","Archive Gallery The Rose Lipman Building, 43 De Beauvoir Road N15SQ"
"1 
                          December
                          2017","World AIDS Day - fear, community and hope",01:00pm,02:00pm,"1 
                          December
                          2017","H116 Hatchcroft Building, Middlesex University, The Burroughs, London, NW4 4BT"
"26 
                          November
                          2017","Jakarta Study UK Indonesia Exhibitions - Business, Banking & Finance (Indonesia)",10:00am,07:00pm,"26 
                          November
                          2017","Mandarin Oriental Hotel, Jalan M H Thamrin, PO Box 3392 Jakarta 10310 Indonesia"
"28 
                          November
                          2017",Helsinki Studia Fair Day 1 (Finland),09:00am,05:00pm,"28 
                          November
                          2017","Messukeskus, Messuaukio 1, 00520 Helsinki, Finland"
"7 
                          December
                          2017",Researching Supervision in Practice Based Doctorates - Insights from Practice,10:15am,04:00pm,"7 
                          December
                          2017","Hallam Conference Centre, 44 Hallam Street, Marylebone, London, W1W 6JJ"
"29 
                          November
                          2017","Book launch - 'The Politics of Drugs: Perceptions, Power and Politics'",05:30pm,08:00pm,"29 
                          November
                          2017","C207 and 2nd Floor Mezzanine, College Building"
"29 
                          November
                          2017",The Lammy Review,06:30pm,09:00pm,"29 
                          November
                          2017","Room C219-20,"
"22 
                          November
                          2017",Postgraduate Open Evening,05:00pm,07:30pm,"22 
                          November
                          2017","Rickett Quadrangle, College Building, Middlesex University, The Burroughs, London, NW4 4BT"
"24 
                          November
                          2017",Kraków Study UK Fair (Poland),10:00am,04:30pm,"24 
                          November
                          2017","Andel's by Vienna House ul. Pawia 3 31-154 Kraków, Poland"
"28 
                          January
                          2018",Paris L'etudiant International Studies Fair Day 2 (France),09:00am,05:00pm,"28 
                          January
                          2018","Parc des expositions Porte-de-Versailles, Pavillon 2/1 - 1 place de la Porte de Versailles 75015 Paris"
"25 
                          November
                          2017",Undergraduate Open Day,10:00am,03:00pm,"25 
                          November
                          2017","Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"25 
                          November
                          2017",Warszawa Study UK Fair (Poland),10:00am,04:30pm,"25 
                          November
                          2017","EXPO XXI ul. Prądzyńskiego 12/14 01-222 Warszawa, Poland"
"17 
                          November
                          2017",Nicosia Study UK Education Exhibition Day 1 (Cyprus),03:00pm,08:00pm,"17 
                          November
                          2017","Hilton Cyprus, Archbishop Makarios III Avenue, Nicosia"
"17 
                          November
                          2017",Negeri Sembilan EPSOM College UK Mini Fair (Malaysia),03:00pm,07:00pm,"17 
                          November
                          2017","EPSOM College, Persiaran Kolej, 71760 Bandar Enstek, Negeri Sembilan, Malaysia"
"30 
                          November
                          2017",Baching up the Jazz Tree,07:00pm,09:00pm,"30 
                          November
                          2017","The Red Hedgehog, 255–57 Archway Rd, Highgate, N6 5BS"
"18 
                          November
                          2017",Nicosia Study UK Education Exhibition Day 2 (Cyprus),03:00pm,08:00pm,"18 
                          November
                          2017","Hilton Cyprus, Archbishop Makarios III Avenue, Nicosia"
"20 
                          November
                          2017",Subang Jaya IDP Study in UK Exhibition (Malaysia),01:00pm,04:00pm,"20 
                          November
                          2017","IDP Subang Jaya - No.16-18, Jalan SS 15/8, Ss 15, 47500 Subang Jaya, Selangor"
"16 
                          November
                          2017",Negeri Sembilan Kolej MARA Seremban UK Mini Fair (Malaysia),07:00am,09:30am,"16 
                          November
                          2017","Kolej MARA Seremban, Jalan Aminuddin Baki, 70100 Seremban, Negeri Sembilan"
"16 
                          January
                          2018",Thinking differently about feedback: for learning in courses and in work,02:00pm,04:00pm,"16 
                          January
                          2018","C223 College Building, Middlesex University, The Burroughs, London, NW4 4BT"
"15 
                          October
                          2017",Limassol Student 2017 Fair (Cyprus),03:00pm,09:00pm,"15 
                          November
                          2017","Venue Centre, Columbia Plaza, 223, St. Andrews Str, 3036 Limassol, Cyprus"
"15 
                          November
                          2017",Negeri Sembilan UK Universities Info Day (Malaysia),03:00pm,07:00pm,"15 
                          November
                          2017","Kolej MARA Seremban, Jalan Aminuddin Baki, 70100 Seremban, Negeri Sembilan"
"15 
                          November
                          2017",Languaging: just another description of semiosis?,04:00pm,05:30pm,"15 
                          November
                          2017","Williams Building,"
"16 
                          November
                          2017",Sexual offences on London trains: What we know from proactive police officers' experiences,12:00pm,01:00pm,"16 
                          November
                          2017","C205 College Building, Middlesex University, The Burroughs, London, NW4 4BT"
"15 
                          November
                          2017",Barnet Together & Middlesex University Crowdfunding Workshop,05:30pm,07:30pm,"15 
                          November
                          2017",PAG02
"14 
                          November
                          2017",11,08:00pm,10:00pm,"14 
                          November
                          2017","The Spice of Life, 6 Moor Street, Soho, London W1D 5NA"
"13 
                          November
                          2017","The long stories of short tales: genes, languages and the evolution of folk traditions",04:30pm,06:00pm,"13 
                          November
                          2017","C138 College building, Middlesex University, The Burroughs, London, NW4 4BT"
"14 
                          November
                          2017",BA Jazz at The Spice of Life,08:00pm,10:00pm,"14 
                          November
                          2017","The Spice of Life, 6 Moor Street, Soho, London W1D 5NA"
"10 
                          November
                          2017",Recipes for Authenticity,03:00pm,08:00pm,"10 
                          November
                          2017","Mezzanine , 1st Floor, The Quad, Middlesex University,"
"15 
                          November
                          2017",Selangor Study in Australia and UK Fair (Malaysia),03:00pm,06:00pm,"15 
                          November
                          2017","HELP Subang 2 Campus Persiaran Cakerawala, 40160 Shah Alam, Selangor, Malaysia"
"10 
                          November
                          2017",Kuala Lumpur Study in Australia and UK Fair (Malaysia),05:00pm,07:00pm,"10 
                          November
                          2017",HELP ELM Business School.
"11 
                          November
                          2017",Rome Study in the UK fair (Italy),10:00am,06:00pm,"11 
                          November
                          2017","Sala della Protomoteca del Campidoglio, Via del Campidoglio, 1 – 00186 Rome"
"11 
                          November
                          2017",Bratislava International Higher Education Fair (Slovakia),08:30am,02:30pm,"11 
                          November
                          2017","Crowne Plaza Hotel Hodžovo námestie 568/2, 816 25 Bratislava, Slovakia"
"6 
                          November
                          2017",Bangkok Hands On Interviews (Thailand),12:00pm,01:00pm,"6 
                          November
                          2017","Room 1801-B, 18/F Central Pinklao Tower A, 7/129 Boromrajajonani Rd. Arun-Amarin,Bangkok-noi, Bangkok 10700 Thailand"
"18 
                          November
                          2017",Academic visit to South China and Taiwan,10:00am,05:00pm,"12 
                          November
                          2017",South China and Taiwan
"8 
                          November
                          2017",AUA Conference - Developing Yourself - A Career in HE,09:30am,04:00pm,"8 
                          November
                          2017","C219, College Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"4 
                          November
                          2017",Mexico City Study UK Exhibition (Mexico),01:00pm,06:30pm,"4 
                          November
                          2017","Hotel Marriott, Paseo de la Reforma 276, Juárez, 06600, Mexico City"
"28 
                          November
                          2017",Grove Sessions,06:00pm,08:00pm,"28 
                          November
                          2017","Concert Room, Grove Building, Middlesex University, The Burroughs, London, NW4 4BT"
"9 
                          November
                          2017",Visual and Creative Methods Symposium,10:00am,04:00pm,"9 
                          November
                          2017",Room HG02
"3 
                          November
                          2017",Brno Gaudeamus Fair Day 4 (Czech Republic),08:00am,02:00pm,"3 
                          November
                          2017","Brno Exhibition Center Halls G1 and G2 Výstaviště 405/1, 603 00 Brno-střed, Czechia"
"1 
                          November
                          2017",San Francisco Performing and Visual Arts College Fair (USA),07:00pm,09:00pm,"1 
                          November
                          2017","South San Francisco Conference Center 255 S Airport Blvd South San Francisco, CA 94080"
"11 
                          November
                          2017",Athens Study UK British Council Fair (Greece),02:00pm,07:00pm,"11 
                          November
                          2017","Royal Olympic Hotel, Athens"
"4 
                          November
                          2017",Oslo Destination Britain Day 2 (Norway),12:00pm,06:00pm,"4 
                          November
                          2017","Felix Konferansesenter at Aker Brygge, Bryggetorget 3, 0250 Oslo"
"30 
                          October
                          2017","Academic visit to Lagos, Nigeria",10:00am,03:00pm,"30 
                          October
                          2017","Lagos, Nigeria"
"2 
                          November
                          2017",Book Launch and Symposium - Qualitative Research in Digital Environments: A Research Toolkit,11:00am,01:00pm,"2 
                          November
                          2017","Committee Room 2, Town Hall, The Burroughs"
"31 
                          October
                          2017",“Beautiful” Singing: Understanding the Italian Way,06:15pm,08:00pm,"31 
                          October
                          2017","Concert Room, Grove Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"1 
                          November
                          2017",Brno Gaudeamus Fair Day 2 (Czech Republic),08:00am,04:00pm,"1 
                          November
                          2017","Brno Exhibition Center Halls G1 and G2 Výstaviště 405/1, 603 00 Brno-střed, Czechia"
"28 
                          October
                          2017",Istanbul IEFT Fair Day 3 (Turkey),10:00am,06:00pm,"28 
                          October
                          2017","Istanbul Congress Centre Harbiye Mahallesi, Darülbedai Caddesi No:3, 34367 Şişli/Istanbul, Turkey"
"28 
                          October
                          2017",San Diego Performing and Visual Arts College Fair (USA),01:00pm,03:00pm,"28 
                          October
                          2017","University of San Diego - Hahn University Center 5998 Alcalá Park San Diego, CA 92110 Fair"
"29 
                          October
                          2017",Istanbul IEFT Fair Day 4 (Turkey),10:00am,06:00pm,"29 
                          October
                          2017","Istanbul Congress Centre Harbiye Mahallesi, Darülbedai Caddesi No:3, 34367 Şişli/Istanbul"
"29 
                          October
                          2017",Los Angeles Performing and Visual Arts College Fair (USA),01:00pm,03:30pm,"29 
                          October
                          2017","UCLA - Ackerman Union 460 Portola Plaza Los Angeles, CA 90095"
"26 
                          October
                          2017",Istanbul IEFT Fair Day 1 (Turkey),01:00pm,07:00pm,"26 
                          October
                          2017","Bostanci Dedeman Hotel Altıntepe Mahallesi, Değirmen Yolu Cd. 39/B, Bostanci, 34840"
"23 
                          October
                          2017",Gendered Inclusion in Contemporary Organisations,09:30am,04:30pm,"23 
                          October
                          2017","Wivenhoe House Hotel, University of Essex, Wivenhoe Park, Colchester, CO4 3SQ."
"29 
                          November
                          2017",Helsinki Studia Fair Day 2 (Finland),09:00am,04:00pm,"29 
                          November
                          2017","Messukeskus, Messuaukio 1, 00520 Helsinki, Finland"
"24 
                          October
                          2017",Arizona Maricopa Community College Transfer fair - Phoenix College (USA),09:30am,12:30pm,"24 
                          October
                          2017","Phoenix College 1202 W. Thomas Road Phoenix, AZ 85013, USA"
"3 
                          November
                          2017",Oslo Destination Britain Day 1 (Norway),04:00pm,08:00pm,"3 
                          November
                          2017","Felix Konferansesenter at Aker Brygge, Bryggetorget 3, 0250 Oslo"
"25 
                          October
                          2017",BA Jazz at The Spice of Life,08:00pm,11:00pm,"25 
                          October
                          2017","6 Moor Street, Soho, London W1D 5NA"
"22 
                          October
                          2017","International Conference on Ayurveda & Integrative Medicine ""Mental Health & Elderly Care""",09:00am,06:00pm,"21 
                          October
                          2017","College Building, Hendon Campus, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"23 
                          October
                          2017",Arizona Maricopa Community College Transfer fair (USA),09:00am,01:00pm,"23 
                          October
                          2017","Glendale Community College- North Campus 5727 W Happy Valley Rd., Phoenix, AZ 85310"
"18 
                          October
                          2017",SME Internationalization in Non-Core Ecosystems: Empirical Evidence and Policy Considerations,04:00pm,06:00pm,"18 
                          October
                          2017","C219-C220 College Building, Middlesex University, Hendon Campus. London. NW4 4BT"
"19 
                          October
                          2017",Barcelona Study UK Fair (Spain),08:00am,05:00pm,"19 
                          October
                          2017","NH Constanza, Calle Deu i Mata, 69-99, 08029 Barcelona, Spain"
"24 
                          October
                          2017",Fruits in Suits,05:30pm,08:00pm,"24 
                          October
                          2017","The Light Lounge (above Ku Bar in Leicester Square), 1 Newport Place, WC2H 7JR"
"20 
                          October
                          2017",Medusa by Proper Job Theatre Company,03:30pm,04:30pm,"20 
                          October
                          2017","Ravensfield Theatre, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"17 
                          October
                          2017",Singapore Republic Polytechnic Education and Lifelong Learning Fair 2017 (Singapore),11:00am,06:00pm,"17 
                          October
                          2017","9 Woodlands Avenue 9, Singapore 738964"
"17 
                          October
                          2017",Grove Sessions,06:00pm,08:00pm,"17 
                          October
                          2017","Concert Room, Grove Building, Middlesex University, The Burroughs, London, NW4 4BT"
"18 
                          October
                          2017",Arizona Maricopa Community College Transfer fair (USA),10:00am,01:00pm,"18 
                          October
                          2017","Paradise Valley Community College 18401 N. 32nd St. Phoenix, AZ 85032, USA."
"18 
                          October
                          2017",Rhyme and Reason: “creative criticism” and thinking in verse,04:00pm,05:30pm,"18 
                          October
                          2017","C223 College building, Middlesex University, The Burroughs, London, NW4 4BT"
"12 
                          October
                          2017",Abuja UKEAS Fair (Nigeria),09:00am,04:00pm,"12 
                          October
                          2017","Sheraton Hotel, Abuja, Nigeria"
"12 
                          October
                          2017",Los Angeles Idealist Grad Fair 2017 (USA),05:00pm,08:00pm,"12 
                          October
                          2017","Los Angeles Convention Center, West Hall B 1201 South Figueroa Street Los Angeles, CA 90015"
"14 
                          October
                          2017",Seoul EDM Fair (South Korea),04:00am,10:00am,"14 
                          October
                          2017","COEX, SEOUL – Hall C COEX 513, Yeongdong-daero, Gangnam-gu, Seoul, 06164, Korea"
"14 
                          October
                          2017",Lagos UKEAS Fair (Nigeria),09:00am,04:00pm,"14 
                          October
                          2017","Eko Hotel and Suites, Victoria Island, Lagos"
"15 
                          October
                          2017",Seoul EDM Fair Day 2 (South Korea),04:00am,10:00am,"15 
                          October
                          2017","COEX, SEOUL – Hall C COEX 513, Yeongdong-daero, Gangnam-gu, Seoul, 06164, Korea."
"10 
                          October
                          2017",Accra EDUEXPOS Fair (Ghana),02:00pm,07:00pm,"10 
                          October
                          2017","Kempinski Hotel, Gold Coast City, Accra, Ghana"
"10 
                          October
                          2017",Recital with Madeleine Mitchell and Nigel Clayton,06:15pm,08:00pm,"10 
                          October
                          2017","Concert Room, The Grove Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"12 
                          October
                          2017",Bratislava Academia Fair Day 3 (Slovakia),09:00am,02:00pm,"12 
                          October
                          2017","AEGON aréna NTC, Príkopova 6, in Bratislava, Slovak Republic"
"2 
                          November
                          2017",Brno Gaudeamus Fair Day 3 (Czech Republic),08:00am,04:00pm,"2 
                          November
                          2017","Brno Exhibition Center Halls G1 and G2 Výstaviště 405/1, 603 00 Brno-střed, Czechia"
"29 
                          November
                          2017",Health Promotion and Wellbeing Fayre,10:00am,02:00pm,"29 
                          November
                          2017","Rickett Quadrangle,"
"1 
                          November
                          2017",Try Vegan - World Vegan Day,10:00am,05:00pm,"1 
                          November
                          2017","Rickett Quadrangle,"
"10 
                          October
                          2017",Split 7th International Education Fair (Croatia),09:00am,02:00pm,"10 
                          October
                          2017","Hotel Atrium Ul. Domovinskog rata 49, 21000, Split, Croatia"
"10 
                          October
                          2017",Bratislava Academia Fair Day 1 (Slovakia),09:00am,04:00pm,"10 
                          October
                          2017","AEGON aréna NTC, Príkopova 6, in Bratislava, Slovak Republic"
"10 
                          October
                          2017",Santa Monica College Fair (USA),10:30am,01:00pm,"10 
                          October
                          2017","Fountain Quad, Santa Monica College, 1900 Pico Blvd, Santa Monica, CA 90405, USA"
"7 
                          October
                          2017",Undergraduate Open Day,10:00am,03:00pm,"7 
                          October
                          2017","Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"10 
                          October
                          2017",Accra UKEAS Fair (Ghana),09:00am,04:00pm,"10 
                          October
                          2017","Movenpick Ambassador Hotel, Accra, Ghana"
"8 
                          October
                          2017",Lagos EDUEXPOS Fair (Nigeria),01:00pm,06:00pm,"8 
                          October
                          2017","Eko Hotel and Suites, Victoria Island, Lagos, Nigeria"
